year	month	rainfall
2009	Jul	35.2
2009	Aug	3.0
2009	Sep	111.2
2009	Oct	60.2
2009	Nov	209.8
2009	Dec	460.8
2010	Jan	162.6
2010	Feb	220.8
2010	Mar 	76.8
2010	Apr	37.6
2010	May	275.4
2010	Jun	155.0
2010	Jul	102.0
2010	Aug	103.6
2010	Sep	242.2
2010	Oct	113.8
2010	Nov	375.3
2010	Dec	237.2
2011	Jan	
2011	Feb	111
2011	Mar 	129.2
2011	Apr	25.2
2011	May	11.6
2011	Jun	52.8
2011	Jul	27.4
2011	Aug	2
2011	Sep	51.8
2011	Oct	136.4
2011	Nov	125
2011	Dec	115.8
2012	Jan	72.2
2012	Feb	84
2012	Mar 	62.4
2012	Apr	246.6
2012	May	85
2012	Jun	14.2
2012	Jul	4.2
2012	Aug	6.2
2012	Sep	53.4
2012	Oct	309.2
2012	Nov	328.2
2012	Dec	207.8
